Location,Value
Acharya Vihar,0
AG Square,1
AIIMS,2
AMRI Hospital,3
Apollo Hospital,4
Baramunda,5
Biju Pattnaik Airport,6
C.V. Raman Global University,7
CARE Hospital,8
Collage of Engineering & Technology,9
CUTM,10
Fire Station,11
GITA,12
Gohiria Square,13
Hi-Tech,14
IIIT,15
IIT,16
IMMT,17
Infocity Square,18
ITER,19
Jagamara,20
Jaydev Vihar,21
Kalinga Hospital Square,22
Kalpana Square,23
Khandagiri,24
KIIMS,25
KIIT,26
KIIT Square,27
Lingaraj Mandir,28
Lingraj  Station,29
Master Canteen,30
OUAT Square,31
Patia Square,32
Rajmahal Square,33
Rasulgarh,34
Silicon Institute of Technology,35
SUM Hospital,36
Tomando,37
Trident Academy Of Technology,38
Utkal Hospital,39
Vani Vihar,40
